channel,mean,median,variance,std,skewness,kurtosis,zcr,energy,ptp,psd_delta,psd_theta,psd_alpha,psd_beta,total_power,rel_alpha,ratio_theta_alpha,ratio_beta_alpha,spectral_edge,sample_entropy,perm_entropy,higuchi_fd,hjorth_activity,hjorth_mobility,hjorth_complexity,spectral_entropy,lempel_ziv,phase_locking_value,alpha_peak_freq,ind_alpha_power,wavelet_complexity,signal_coherence,dyn_conn_variance,psd_gamma_low,psd_gamma_high,dfa,energy_ratio,microstate_var,label,session
O1,-0.225675184,0.171730653,144.2770535,12.01153835,-1.295051287,15.99383025,0.073083067,144.3279828,184.3925346,2.647466273,1.65329618,1.722333877,0.729432572,34.57470535,0.049814853,0.959916194,0.423514037,23.4375,2.485867717,0.705905915,1.346454,144.2770535,0.189568766,2.732893149,4.283929119,167,0.238544887,11.71875,2.574344657,8.183291709,0.305293436,0.009256896,0.049274524,2.48E-05,0.980341471,1.348542371,0.281418353,a_c_b,a_c_b
Oz,-0.553028597,0.150269768,108.0102455,10.39279777,-1.771121139,9.828243973,0.071485623,108.3160861,133.9125467,4.015398722,1.520115477,2.565207358,0.889356886,44.39591146,0.057780261,0.592589707,0.346699803,24.4140625,2.341113044,0.70101393,1.327922983,108.0102455,0.225657908,2.284576024,4.457401354,159,0.271600435,11.71875,3.487049936,8.310862386,0.316968595,0.009766452,0.063703334,1.55E-05,0.888139365,1.892409485,0.271068188,a_c_b,a_c_b
O2,-0.68452345,0.847965559,149.8839056,12.24270826,-2.573275092,16.76170767,0.06629393,150.352478,166.2928812,4.293694422,1.66168674,3.988055622,0.950227211,52.58414251,0.075841412,0.416665889,0.238268294,22.4609375,2.504930516,0.68861765,1.293621125,149.8839056,0.211744551,2.342500036,4.41584202,153,0.333832278,11.71875,6.484956804,8.234217886,0.342071567,0.011244361,0.056259076,3.10E-05,0.884629221,2.319392714,0.24084069,a_c_b,a_c_b
PO3,-0.498948572,0.258636427,83.11249232,9.116605307,-1.223069577,4.21410028,0.073682109,83.361442,83.43757905,5.168372619,1.820006632,2.729142292,0.991443006,51.54768765,0.052944029,0.666878615,0.363280071,22.4609375,2.21009751,0.694115301,1.302962132,83.11249232,0.250314935,1.972257687,4.48299008,166,0.302038631,11.71875,3.784148817,8.419823025,0.354040357,0.008008065,0.049170161,2.91E-05,0.81241599,1.64174464,0.265615463,a_c_b,a_c_b
PO4,-0.283992764,0.493177749,83.84907116,9.156913845,-0.461417342,0.696437584,0.072883387,83.92972305,65.92221356,6.472332602,2.495392746,4.664948285,1.319282791,71.80545217,0.064966491,0.534923989,0.282807592,22.4609375,2.214509205,0.676351008,1.273095837,83.84907116,0.277709404,1.711971761,4.416752621,164,0.32347819,11.71875,8.225780132,8.480649534,0.35652953,0.007644643,0.053910858,2.73E-05,0.74389501,1.008130134,0.257429924,a_c_b,a_c_b
TP7,-0.391160657,0.541655254,46.07632532,6.787954428,-1.721009153,6.640100211,0.070686901,46.22933198,72.27120242,2.235238774,1.108018034,1.385930992,0.571750566,26.97302262,0.051382117,0.799475616,0.412538986,23.4375,1.915149634,0.71973304,1.348034576,46.07632532,0.2590028,1.985388748,4.456441367,164,0.28300188,9.27734375,1.358920408,8.35866295,0.316482037,0.008520196,0.041454555,5.99E-06,0.879784257,0.60203693,0.319137686,a_c_b,a_c_b
TP8,-0.216451448,0.959006413,119.3490716,10.92470007,-1.294523175,5.136061249,0.06629393,119.3959229,118.2661192,6.575900968,3.26757826,3.444850442,1.330299511,70.52280891,0.048847323,0.948539948,0.386170469,23.4375,2.391026287,0.709616466,1.323549731,119.3490716,0.252347119,2.009845209,4.454895643,155,0.267684593,9.27734375,3.912095482,8.285544525,0.321058501,0.014173477,0.072619291,3.10E-05,0.871048354,1.286172018,0.314495981,a_c_b,a_c_b
Fz,0.106451764,0.48745413,152.3187497,12.34174824,-0.247876365,7.962586158,0.062899361,152.3300816,169.5260931,7.590509616,3.7842479,3.935258152,1.214497645,75.51051067,0.052115369,0.961626342,0.308619562,22.4609375,2.512987681,0.70006782,1.295878508,152.3187497,0.221784672,2.220683868,4.443989548,148,0.311718035,9.27734375,4.200801858,8.238987879,0.290590859,0.013681337,0.064059009,3.20E-05,0.901949544,1.079526992,0.309251416,a_c_b,a_c_b
O1,0.716606858,0.230613068,174.0001424,13.19091136,2.745886688,20.78718698,0.07827476,174.5136678,193.0776783,4.783203655,1.862096563,3.039750274,0.767693732,47.77548548,0.063625733,0.612582086,0.252551579,23.4375,2.579528059,0.705509588,1.341053783,174.0001424,0.195354461,2.663415437,4.020916946,167,0.413470152,11.23046875,3.706662351,8.206621731,0.32402778,0.00763629,0.040457735,6.55E-05,0.956294565,0.411509268,0.236724257,a_pu_b,a_pu_b
Oz,0.606581167,0.560360193,157.2599739,12.54033388,2.047784919,13.94131367,0.070886581,157.6279146,160.3852832,4.935130519,2.104778142,4.348330945,0.879836676,56.45488808,0.077023108,0.484042767,0.202338941,22.4609375,2.52895016,0.693238639,1.30792068,157.2599739,0.21023067,2.440790832,4.148437953,164,0.435169786,10.7421875,5.220460403,8.30920928,0.327202449,0.005506317,0.041485789,4.49E-05,0.915918047,0.456601787,0.241117173,a_pu_b,a_pu_b
O2,0.324570363,0.741068621,355.1279901,18.84483988,1.245200007,18.05431529,0.07827476,355.233336,297.8195133,4.80749008,2.026132427,10.72685895,1.047624631,84.29167912,0.127258812,0.188884037,0.09766369,21.484375,2.93623913,0.659524523,1.256259201,355.1279901,0.184270946,2.679462514,3.854365273,173,0.585993215,10.7421875,13.95837031,8.100376882,0.354656978,0.005270732,0.056188388,0.000104833,0.913775151,0.712510106,0.199846776,a_pu_b,a_pu_b
PO3,-0.004931728,0.537785897,177.0697299,13.30675505,-0.034199552,10.87665507,0.073083067,177.0697542,196.4399249,6.361908555,2.207403807,3.613685439,1.045023253,61.18050121,0.059065967,0.610845588,0.289184897,22.4609375,2.588271804,0.694645313,1.320668988,177.0697299,0.204892519,2.496031688,4.269253096,165,0.33238758,11.23046875,4.723429232,8.23011598,0.300013833,0.004985802,0.050958461,3.62E-05,0.929910632,1.007805817,0.275911071,a_pu_b,a_pu_b
PO4,-0.443124795,0.433726592,169.5216487,13.02004795,-0.843411204,2.883529799,0.076277955,169.7180083,126.345211,8.527888761,2.594151568,11.68693969,1.185904998,104.0543213,0.112315755,0.221970134,0.101472672,21.484375,2.56649032,0.664006902,1.249872421,169.5216487,0.236067812,1.985448841,4.139605454,168,0.52920059,10.7421875,13.92321679,8.419184714,0.379530042,0.006369059,0.06189422,3.26E-05,0.784449828,1.477691039,0.194302169,a_pu_b,a_pu_b
TP7,-0.745136083,0.627192454,90.63221974,9.520095574,-2.78846392,14.84809486,0.071086262,91.18744753,123.4046045,3.461471897,1.470676086,1.782479176,0.670855481,35.4724354,0.050249698,0.825073362,0.376360908,25.390625,2.253404888,0.715946952,1.361181218,90.63221974,0.22362241,2.354336778,4.522657666,163,0.291636864,11.23046875,1.882077635,8.257261838,0.308955566,0.00847969,0.046606435,1.76E-05,0.884955296,2.791188878,0.300528258,a_pu_b,a_pu_b
TP8,0.418959191,1.282944631,171.408799,13.09231832,1.138338474,11.38785228,0.069289137,171.5843258,160.1492153,7.379653113,3.654559888,4.107369873,1.378452362,77.9988209,0.052659384,0.889756706,0.335604634,23.4375,2.57202567,0.703911936,1.328727176,171.408799,0.226527761,2.257754131,4.406944645,157,0.325077469,8.30078125,3.601147813,8.211721088,0.31438772,0.011909347,0.061101939,4.93E-05,0.91175095,0.625555673,0.303783301,a_pu_b,a_pu_b
Fz,-1.493236752,0.190850642,156.5711674,12.5128401,-1.382407381,4.589178641,0.065095847,158.8009234,125.755732,12.35797721,4.261324075,5.898329831,1.195931979,99.23932286,0.05943541,0.722462832,0.202757732,20.5078125,2.526755325,0.696361979,1.279733377,156.5711674,0.225653318,2.136059358,4.182207129,150,0.315876302,10.7421875,5.481798163,8.326605099,0.353138078,0.006276279,0.051256043,3.92E-05,0.873479172,0.762065742,0.297344731,a_pu_b,a_pu_b
O1,3.013910029,0.722633843,256.6451682,16.02014882,3.826359636,20.228008,0.077476038,265.7288219,179.6025232,5.635476754,1.17511373,2.341172908,0.946742571,48.01294308,0.048761287,0.501933764,0.404388145,22.4609375,2.773847231,0.709333241,1.366102822,256.6451682,0.181906239,2.922028822,3.851484383,174,0.304171186,10.7421875,1.73673853,8.027305656,0.31789055,0.013169627,0.046029024,5.00E-05,1.004320951,1.096662638,0.292642127,b_m_b,b_m_b
Oz,2.686574737,1.108298783,227.1311752,15.07087175,3.287893016,16.75028685,0.072284345,234.3488591,169.2430961,4.713404233,1.798757551,3.653762512,1.105672909,55.8524053,0.065418177,0.49230281,0.302612144,21.484375,2.712763858,0.699168123,1.334614182,227.1311752,0.193066159,2.668094752,4.034874991,169,0.308425724,12.6953125,3.115187021,8.130309331,0.318259609,0.008318216,0.047607736,5.41E-05,0.967279506,1.036721882,0.26877249,b_m_b,b_m_b
O2,5.008980874,0.958298394,649.7298395,25.48979873,4.381896154,23.3395465,0.073282748,674.8197289,286.3984349,5.027449875,2.029100438,5.962756588,1.215653361,68.93153823,0.08650259,0.340295702,0.20387439,20.5078125,3.238278322,0.687233938,1.317733621,649.7298395,0.16001318,3.238042355,3.463507704,168,0.374107999,11.23046875,6.035120819,7.802751214,0.369047265,0.00817825,0.054216651,0.000128589,1.04194129,1.099278657,0.247904943,b_m_b,b_m_b
PO3,3.03997524,0.724663271,289.3700361,17.01087993,3.344058055,16.4706532,0.071884984,298.6114856,184.1927477,5.921521946,2.424420168,3.899254469,1.302770943,66.50914137,0.058627346,0.621765055,0.3341077,21.484375,2.833853135,0.692346811,1.321444504,289.3700361,0.181227835,2.824618279,4.065176635,164,0.299537442,12.20703125,3.530305526,8.081460833,0.325117123,0.008534673,0.044124823,7.07E-05,0.981377416,1.003447446,0.282947918,b_m_b,b_m_b
PO4,1.861675273,1.16998887,177.4940151,13.32268798,1.410826771,6.31687186,0.075079872,180.9598499,145.7760134,8.291166074,2.677915289,7.790277526,1.579801829,95.1827024,0.081845517,0.343750948,0.20279147,21.484375,2.589468445,0.681616696,1.284170989,177.4940151,0.230471718,2.100192693,4.254840392,166,0.309569412,11.23046875,7.044725667,8.283440813,0.315657697,0.005985976,0.048824437,2.76E-05,0.865182007,1.215127992,0.239043511,b_m_b,b_m_b
TP7,1.651316871,0.778613587,104.3720868,10.2162658,1.974384225,9.032486781,0.081469649,107.0989342,108.7410351,2.965442892,1.257290456,1.845012283,0.760813592,35.00018428,0.052714359,0.681453705,0.412362345,25.390625,2.323981136,0.724411795,1.374276457,104.3720868,0.211817294,2.472089074,4.359297852,179,0.260358077,11.71875,1.858923518,8.261398329,0.326795156,0.009017733,0.040999819,1.66E-05,0.953025602,0.96950853,0.293981663,b_m_b,b_m_b
TP8,2.654623967,1.686496746,252.629013,15.89430757,2.50867973,12.82928691,0.063897764,259.6760414,181.4896352,8.071818121,3.439606291,4.820484462,1.528092007,84.7614735,0.056871173,0.713539545,0.316999675,22.4609375,2.76596103,0.711685653,1.331718758,252.629013,0.208815747,2.448090454,4.334212825,158,0.243587936,8.7890625,4.31505944,8.098385092,0.347005141,0.012440088,0.069570222,3.99E-05,0.946197099,1.03425989,0.300720839,b_m_b,b_m_b
Fz,-0.986568897,0.450682421,164.81809,12.83814979,-1.369140285,5.0901973,0.062300319,165.7914082,117.3835085,15.45336642,3.689310529,5.668349819,1.532594292,111.3774379,0.05089316,0.650861476,0.270377507,20.5078125,2.55242119,0.699742153,1.294370437,164.81809,0.221815295,2.19138424,4.047168516,150,0.268156489,11.71875,5.096408797,8.333124039,0.351962339,0.010905394,0.054257644,1.12E-05,0.89779311,1.578796048,0.302519863,b_m_b,b_m_b
O1,1.299600045,0.229389359,155.1367307,12.45538963,3.947539021,26.9265756,0.073881789,156.825691,167.7389831,5.179348193,1.446617687,3.120149784,0.725665908,46.8671008,0.066574414,0.463637257,0.232574062,23.4375,2.522153431,0.697195966,1.324268596,155.1367307,0.192970373,2.653951856,4.337037053,165,0.329105576,11.23046875,3.547644613,8.229601798,0.339149772,0.006060264,0.043027735,1.56E-05,0.858402499,5.050632524,0.258753431,i_sg_b,i_sg_b
Oz,1.19678068,0.642976102,136.9378814,11.70204603,2.642617501,16.17838233,0.073083067,138.3701654,149.559289,5.334210827,1.62082961,4.669482089,0.955658003,58.36572333,0.080003842,0.347111217,0.204660385,22.4609375,2.459763701,0.696430806,1.306503922,136.9378814,0.216924544,2.320145844,4.353852161,168,0.350481653,11.23046875,4.448229199,8.278794956,0.335180575,0.004967049,0.051241372,1.99E-05,0.819372931,3.071804665,0.272684776,i_sg_b,i_sg_b
O2,2.615140044,1.113386139,322.7197094,17.96440117,4.870002436,35.36220052,0.078474441,329.5586668,248.0344361,4.857395901,1.599842595,9.061586665,1.188663584,78.61384925,0.115267052,0.176552149,0.131176098,22.4609375,2.888392087,0.668163996,1.27235759,322.7197094,0.183044909,2.678382603,4.161792976,171,0.479794197,11.23046875,9.678041791,8.059985347,0.354752826,0.009354718,0.052970281,2.24E-05,0.831180278,6.365062639,0.193758428,i_sg_b,i_sg_b
PO3,1.856574814,0.799107587,188.6668795,13.73560627,3.18420691,20.19226792,0.065894569,192.1137496,175.9638685,4.631156984,2.227161691,4.820991378,1.029008172,60.60823033,0.07954351,0.461971722,0.213443272,21.484375,2.619991459,0.689323532,1.297614946,188.6668795,0.197965316,2.482029219,4.320445709,154,0.307432744,11.23046875,6.352917338,8.241190654,0.349660315,0.009211862,0.043618846,2.84E-05,0.918773141,3.345806435,0.254302989,i_sg_b,i_sg_b
PO4,1.715358201,0.861161664,184.7443369,13.5920689,1.599271308,7.494055,0.079672524,187.6867906,139.7422469,6.841773117,2.354410323,11.54492319,1.53229279,103.7039236,0.111325809,0.203934689,0.132724381,20.5078125,2.609486453,0.663152448,1.252740706,184.7443369,0.225182944,2.027749508,4.122986834,171,0.431436377,11.23046875,13.41641724,8.318408066,0.350839268,0.010423029,0.054437833,4.57E-05,0.797555512,1.96228711,0.215268742,i_sg_b,i_sg_b
TP7,1.522572671,0.983996675,99.17060457,9.958443883,2.343430045,12.81459549,0.066094249,101.4888321,126.5132712,3.118387634,1.375063448,1.695160984,0.604655837,32.5198657,0.052126937,0.811169831,0.35669523,22.4609375,2.298420823,0.715441343,1.357460967,99.17060457,0.208499693,2.509133369,4.120241793,164,0.339056492,11.23046875,2.133774404,8.18926978,0.348296113,0.006324223,0.041162207,3.30E-05,0.955926106,1.242452383,0.292141255,i_sg_b,i_sg_b
TP8,1.16814229,1.392115687,142.1930149,11.92447126,1.223964313,10.01062041,0.068490415,143.5575713,152.044943,7.44372745,3.325070975,5.049098183,1.508127057,82.974146,0.060851463,0.658547498,0.298692361,22.4609375,2.478592697,0.697675353,1.300940786,142.1930149,0.242861767,2.064425721,4.520712555,166,0.369488969,12.20703125,4.782414555,8.258880087,0.381275923,0.009129036,0.076776288,4.87E-05,0.828341914,1.994709162,0.289872698,i_sg_b,i_sg_b
Fz,0.528920526,1.062333549,122.767538,11.08005135,-0.117639374,2.86341044,0.060103834,123.0472949,110.6114604,11.36900129,3.669640433,5.050044909,1.279173394,92.01086634,0.05488531,0.72665501,0.25329941,20.5078125,2.405146316,0.697394302,1.287514414,122.767538,0.238014438,2.03249007,4.213734721,151,0.27141405,11.71875,4.994619498,8.313690926,0.372438616,0.00974012,0.058375002,6.77E-05,0.873459455,0.687918084,0.283910439,i_sg_b,i_sg_b
O1,-2.077204218,-0.254306539,174.6572754,13.21579643,-4.506296838,31.67419023,0.077076677,178.9720527,176.419201,4.009043646,1.975952242,2.216023255,0.790131363,43.01739746,0.051514582,0.891665842,0.356553732,22.4609375,2.581412814,0.719022147,1.366351157,174.6572754,0.196124629,2.694234168,3.852880012,178,0.3163653,10.25390625,1.733481324,8.182132801,0.337400006,0.009686324,0.057048334,5.79E-05,0.959057875,0.245293952,0.293143912,m_et_s,m_et_s
Oz,-1.93465882,0.189249932,176.5088252,13.28566239,-3.775660488,23.06458936,0.077875399,180.2517299,158.674804,4.58724009,2.112638759,3.055694644,0.854136831,49.80951685,0.061347607,0.691377577,0.279522966,22.4609375,2.586685438,0.708461167,1.351880138,176.5088252,0.202374294,2.615951076,3.822035553,173,0.303696506,11.23046875,2.385063305,8.202233114,0.334242522,0.008154327,0.056745628,6.06E-05,0.95262235,0.295366928,0.296618258,m_et_s,m_et_s
