label_combination,best_model,n_samples,samples_m_et_s,samples_p_af_b,accuracy,precision_macro,recall_macro,f1_macro,precision_weighted,recall_weighted,f1_weighted,precision_m_et_s,recall_m_et_s,f1_m_et_s,precision_p_af_b,recall_p_af_b,f1_p_af_b,samples_p_af_s,precision_p_af_s,recall_p_af_s,f1_p_af_s,samples_p_sf_b,precision_p_sf_b,recall_p_sf_b,f1_p_sf_b,samples_p_sf_s,precision_p_sf_s,recall_p_sf_s,f1_p_sf_s,samples_a_c_b,precision_a_c_b,recall_a_c_b,f1_a_c_b,samples_a_pu_b,precision_a_pu_b,recall_a_pu_b,f1_a_pu_b,samples_b_m_b,precision_b_m_b,recall_b_m_b,f1_b_m_b,samples_i_sg_b,precision_i_sg_b,recall_i_sg_b,f1_i_sg_b,samples_m_gp_s,precision_m_gp_s,recall_m_gp_s,f1_m_gp_s,samples_n_3_s,precision_n_3_s,recall_n_3_s,f1_n_3_s,samples_o_sq_s,precision_o_sq_s,recall_o_sq_s,f1_o_sq_s
p_sf_b_o_sq_s,RandomForest,112,,,0.9821428571428571,0.9615384615384616,0.9886363636363636,0.9742528735632183,0.9835164835164836,0.9821428571428571,0.9823973727422004,,,,,,,,,,,88.0,1.0,0.9772727272727273,0.9885057471264368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.0,0.9230769230769231,1.0,0.96
p_sf_s_a_c_b,RandomForest,80,,,0.85,0.8190883190883191,0.8333333333333333,0.8254545454545454,0.8544159544159544,0.85,0.8516363636363635,,,,,,,,,,,,,,,56.0,0.9074074074074074,0.875,0.8909090909090909,24.0,0.7307692307692307,0.7916666666666666,0.76,,,,,,,,,,,,,,,,,,,,,,,,
p_sf_s_a_pu_b,RandomForest,80,,,0.9875,0.9912280701754386,0.9791666666666667,0.9849369233665977,0.987719298245614,0.9875,0.9874223310111091,,,,,,,,,,,,,,,56.0,0.9824561403508771,1.0,0.9911504424778761,,,,,24.0,1.0,0.9583333333333334,0.9787234042553191,,,,,,,,,,,,,,,,,,,,
p_sf_s_b_m_b,RandomForest,80,,,0.8875,0.8691838291380625,0.8601190476190477,0.8644323102993786,0.8864225781845919,0.8875,0.8868009790999812,,,,,,,,,,,,,,,56.0,0.9122807017543859,0.9285714285714286,0.9203539823008849,,,,,,,,,24.0,0.8260869565217391,0.7916666666666666,0.8085106382978723,,,,,,,,,,,,,,,,
p_sf_s_i_sg_b,RandomForest,80,,,0.8875,0.8691838291380625,0.8601190476190477,0.8644323102993786,0.8864225781845919,0.8875,0.8868009790999812,,,,,,,,,,,,,,,56.0,0.9122807017543859,0.9285714285714286,0.9203539823008849,,,,,,,,,,,,,24.0,0.8260869565217391,0.7916666666666666,0.8085106382978723,,,,,,,,,,,,
p_sf_s_m_gp_s,RandomForest,80,,,0.8625,0.8386727688787186,0.8303571428571428,0.8343061570325738,0.8610983981693364,0.8625,0.8616456411221993,,,,,,,,,,,,,,,56.0,0.8947368421052632,0.9107142857142857,0.9026548672566371,,,,,,,,,,,,,,,,,24.0,0.782608695652174,0.75,0.7659574468085106,,,,,,,,
p_sf_s_n_3_s,RandomForest,80,,,0.95,0.9404761904761905,0.9404761904761905,0.9404761904761905,0.95,0.95,0.95,,,,,,,,,,,,,,,56.0,0.9642857142857143,0.9642857142857143,0.9642857142857143,,,,,,,,,,,,,,,,,,,,,24.0,0.9166666666666666,0.9166666666666666,0.9166666666666666,,,,
p_sf_s_o_sq_s,RandomForest,80,,,0.9875,0.9912280701754386,0.9791666666666667,0.9849369233665977,0.987719298245614,0.9875,0.9874223310111091,,,,,,,,,,,,,,,56.0,0.9824561403508771,1.0,0.9911504424778761,,,,,,,,,,,,,,,,,,,,,,,,,24.0,1.0,0.9583333333333334,0.9787234042553191
a_c_b_a_pu_b,RandomForest,48,,,0.8125,0.8266787658802177,0.8125,0.8104431768319438,0.8266787658802177,0.8125,0.8104431768319439,,,,,,,,,,,,,,,,,,,24.0,0.8947368421052632,0.7083333333333334,0.7906976744186046,24.0,0.7586206896551724,0.9166666666666666,0.8301886792452831,,,,,,,,,,,,,,,,,,,,
a_c_b_b_m_b,SVM,48,,,0.8541666666666666,0.8547826086956521,0.8541666666666667,0.8541033434650456,0.8547826086956523,0.8541666666666666,0.8541033434650456,,,,,,,,,,,,,,,,,,,24.0,0.8695652173913043,0.8333333333333334,0.851063829787234,,,,,24.0,0.84,0.875,0.8571428571428571,,,,,,,,,,,,,,,,
a_c_b_i_sg_b,SVM,48,,,0.75,0.7517482517482517,0.75,0.7495652173913043,0.7517482517482517,0.75,0.7495652173913044,,,,,,,,,,,,,,,,,,,24.0,0.7727272727272727,0.7083333333333334,0.7391304347826086,,,,,,,,,24.0,0.7307692307692307,0.7916666666666666,0.76,,,,,,,,,,,,
a_c_b_m_gp_s,SVM,48,,,0.5833333333333334,0.5857142857142856,0.5833333333333333,0.5804195804195804,0.5857142857142857,0.5833333333333334,0.5804195804195804,,,,,,,,,,,,,,,,,,,24.0,0.5714285714285714,0.6666666666666666,0.6153846153846154,,,,,,,,,,,,,24.0,0.6,0.5,0.5454545454545454,,,,,,,,
