Timestamp,Channel1,Channel2,Channel3,Channel4,Channel5,Channel6,Channel7,Channel8
26800.1928009,27666.0,16077.43,13559.87,15116.55,16612.1,39848.38,25857.55,52005.25
26800.196800899997,27683.02,16100.89,13590.81,15119.98,16648.58,39829.31,25858.17,51980.6
26800.2008009,27713.59,16183.71,13569.79,15098.48,16705.99,39815.38,25840.0,51955.52
26800.2048009,27711.54,16200.74,13529.45,15081.98,16698.6,39827.16,25829.46,51964.29
26800.2088009,27683.74,16137.89,13523.48,15088.85,16645.0,39845.85,25840.95,51994.14
26800.212800899997,27660.28,16072.42,13555.19,15107.82,16608.86,39849.19,25859.98,52003.72
26800.216800899998,27673.63,16095.59,13585.14,15108.54,16643.96,39831.55,25860.65,51979.69
26800.2208009,27708.34,16181.66,13566.07,15092.09,16703.7,39821.92,25840.05,51957.99
26800.2248009,27710.97,16203.12,13528.83,15077.69,16699.27,39832.5,25834.94,51967.67
26800.2288009,27681.16,16139.8,13520.15,15080.41,16640.9,39844.9,25854.26,51990.9
26800.232800899998,27655.6,16071.51,13555.81,15097.76,16606.62,39845.42,25868.09,52000.91
26800.2368009,27671.96,16094.73,13586.0,15106.58,16645.1,39827.78,25866.7,51981.6
26800.2408009,27709.82,16179.33,13568.78,15092.85,16708.42,39819.15,25851.44,51962.1
26800.2448009,27710.44,16196.87,13529.73,15078.16,16703.99,39829.12,25840.76,51964.77
26800.2487009,27683.69,16137.65,13523.68,15088.75,16654.4,39845.04,25848.3,51987.23
26800.2527009,27663.0,16071.66,13555.53,15111.97,16619.26,39848.62,25864.89,51995.19
26800.2567009,27679.97,16096.16,13588.72,15123.51,16660.26,39834.36,25871.57,51977.59
26800.2607009,27716.12,16182.62,13568.55,15110.69,16720.96,39823.44,25852.35,51951.56
26800.2647009,27716.78,16202.98,13525.87,15096.05,16714.0,39835.74,25844.0,51959.81
26800.2687009,27691.03,16143.56,13520.15,15105.77,16661.17,39855.01,25847.49,51986.89
26800.2727009,27669.72,16080.05,13557.48,15127.23,16626.26,39857.73,25864.56,51996.9
26800.276700899998,27688.55,16104.75,13588.38,15133.81,16660.41,39837.46,25863.51,51977.07
26800.2807009,27727.7,16192.01,13570.83,15118.74,16718.63,39825.73,25847.96,51953.89
26800.2847009,27720.5,16205.17,13529.83,15097.86,16707.18,39833.22,25838.38,51959.04
26800.2887009,27686.46,16142.51,13523.01,15101.58,16654.25,39847.24,25848.53,51986.89
26800.2927009,27665.52,16076.09,13555.96,15118.55,16615.77,39853.43,25865.51,52001.2
26800.2967009,27688.08,16105.8,13589.96,15126.61,16651.44,39840.27,25866.7,51985.41
26800.3007009,27721.89,16189.48,13570.07,15104.58,16708.42,39826.3,25848.63,51960.86
26800.3047009,27717.16,16202.74,13526.01,15082.65,16700.03,39833.12,25838.19,51963.05
26800.3087009,27693.27,16140.51,13520.67,15087.42,16647.01,39848.81,25847.72,51985.7
26800.3127009,27663.81,16070.13,13554.48,15102.48,16610.67,39849.1,25865.46,51995.09
26800.316700900003,27679.26,16095.12,13587.76,15109.73,16648.96,39832.74,25872.19,51976.16
26800.320700900003,27713.16,16181.04,13573.12,15093.95,16710.9,39817.15,25860.6,51949.32
26800.3247009,27711.3,16197.97,13533.64,15079.64,16704.8,39823.97,25850.16,51958.76
26800.3287009,27684.41,16138.65,13528.49,15086.99,16652.87,39845.14,25860.65,51988.94
26800.332700900002,27658.08,16070.18,13559.68,15104.72,16615.49,39846.23,25874.09,51997.0
26800.336700900003,27674.15,16093.45,13589.05,15113.21,16651.44,39830.02,25881.01,51978.31
26800.3407009,27708.2,16177.7,13569.79,15097.91,16712.1,39817.39,25863.46,51955.32
